18:54:23.341 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 58 to Vm 2 in Host 1/DC 1.
18:54:23.341 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 59 to Vm 3 in Host 1/DC 1.
18:54:23.341 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 60 to Vm 0 in Host 0/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 61 to Vm 1 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 62 to Vm 2 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 63 to Vm 3 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 64 to Vm 0 in Host 0/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 65 to Vm 1 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 66 to Vm 2 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 67 to Vm 3 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 68 to Vm 0 in Host 0/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 69 to Vm 1 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 70 to Vm 2 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 71 to Vm 3 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 72 to Vm 0 in Host 0/DC 1.
18:54:23.343 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 73 to Vm 1 in Host 1/DC 1.
18:54:23.346 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 74 to Vm 2 in Host 1/DC 1.
18:54:23.346 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 75 to Vm 3 in Host 1/DC 1.
18:54:23.346 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 76 to Vm 0 in Host 0/DC 1.
18:54:23.346 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 77 to Vm 1 in Host 1/DC 1.
18:54:23.346 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 78 to Vm 2 in Host 1/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 79 to Vm 3 in Host 1/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 80 to Vm 0 in Host 0/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 81 to Vm 1 in Host 1/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 82 to Vm 2 in Host 1/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 83 to Vm 3 in Host 1/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 84 to Vm 0 in Host 0/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 85 to Vm 1 in Host 1/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 86 to Vm 2 in Host 1/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 87 to Vm 3 in Host 1/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 88 to Vm 0 in Host 0/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 89 to Vm 1 in Host 1/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 90 to Vm 2 in Host 1/DC 1.
18:54:23.347 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 91 to Vm 3 in Host 1/DC 1.
18:54:23.348 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 92 to Vm 0 in Host 0/DC 1.
18:54:23.348 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 93 to Vm 1 in Host 1/DC 1.
18:54:23.348 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 94 to Vm 2 in Host 1/DC 1.
18:54:23.348 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 95 to Vm 3 in Host 1/DC 1.
18:54:23.348 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 96 to Vm 0 in Host 0/DC 1.
18:54:23.348 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 97 to Vm 1 in Host 1/DC 1.
18:54:23.351 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 98 to Vm 2 in Host 1/DC 1.
18:54:23.351 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 99 to Vm 3 in Host 1/DC 1.
18:54:23.351 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: All waiting Cloudlets submitted to some VM.
18:54:23.368 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 4 requested 768 MB of Ram but no amount is available.
18:54:23.368 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 8 requested 768 MB of Ram but no amount is available.
18:54:23.368 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 12 requested 768 MB of Ram but no amount is available.
18:54:23.368 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 16 requested 768 MB of Ram but no amount is available.
18:54:23.368 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 20 requested 768 MB of Ram but no amount is available.
18:54:23.368 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 24 requested 768 MB of Ram but no amount is available.
18:54:23.368 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 28 requested 768 MB of Ram but no amount is available.
18:54:23.368 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 32 requested 768 MB of Ram but no amount is available.
18:54:23.368 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 36 requested 768 MB of Ram but no amount is available.
18:54:23.368 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 40 requested 768 MB of Ram but no amount is available.
18:54:23.369 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 44 requested 768 MB of Ram but no amount is available.
18:54:23.369 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 48 requested 768 MB of Ram but no amount is available.
18:54:23.369 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 52 requested 768 MB of Ram but no amount is available.
18:54:23.369 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 56 requested 768 MB of Ram but no amount is available.
18:54:23.369 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 60 requested 768 MB of Ram but no amount is available.
18:54:23.369 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 64 requested 768 MB of Ram but no amount is available.
18:54:23.369 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 68 requested 768 MB of Ram but no amount is available.
18:54:23.369 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 72 requested 768 MB of Ram but no amount is available.
18:54:23.369 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 76 requested 768 MB of Ram but no amount is available.
18:54:23.369 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 80 requested 768 MB of Ram but no amount is available.
18:54:23.369 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 84 requested 768 MB of Ram but no amount is available.
18:54:23.370 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 88 requested 768 MB of Ram but no amount is available.
18:54:23.370 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 92 requested 768 MB of Ram but no amount is available.
18:54:23.370 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 96 requested 768 MB of Ram but no amount is available.
18:54:23.370 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 4 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.370 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 8 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.370 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 12 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.371 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 16 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.371 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 20 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.371 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 24 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.371 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 28 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.371 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 32 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.371 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 36 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.371 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 40 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.371 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 44 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.371 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 48 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.372 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 52 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.373 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 56 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.373 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 60 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.373 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 64 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.373 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 68 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.373 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 72 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.373 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 76 requested 1000 MB of Bandwidth but no amount is available.
18:54:23.373 [run-main-0] WARN  CloudletScheduler - 3.43: CloudletSchedulerTimeShared: Cloudlet 80 requested 1000 MB of Bandwidth but no amount is available.
